    { t: 0.926, lane: 0, dur: 0.000 },
    { t: 0.926, lane: 1, dur: 0.000 },
    { t: 1.555, lane: 0, dur: 0.000 },
    { t: 1.555, lane: 1, dur: 0.000 },
    { t: 2.185, lane: 0, dur: 0.000 },
    { t: 2.256, lane: 1, dur: 0.000 },
    { t: 2.729, lane: 2, dur: 0.000 },
    { t: 2.735, lane: 3, dur: 0.000 },
    { t: 3.444, lane: 3, dur: 0.000 },
    { t: 3.444, lane: 2, dur: 0.000 },
    { t: 4.073, lane: 2, dur: 0.000 },
    { t: 4.073, lane: 3, dur: 0.000 },
    { t: 4.571, lane: 0, dur: 0.000 },
    { t: 4.578, lane: 1, dur: 0.000 },
    { t: 5.240, lane: 0, dur: 0.000 },
    { t: 5.247, lane: 1, dur: 0.000 },
    { t: 5.962, lane: 0, dur: 0.000 },
    { t: 5.962, lane: 1, dur: 0.000 },
    { t: 6.414, lane: 3, dur: 0.000 },
    { t: 6.421, lane: 2, dur: 0.000 },
    { t: 7.085, lane: 3, dur: 0.000 },
    { t: 7.092, lane: 2, dur: 0.000 },
    { t: 7.850, lane: 3, dur: 0.000 },
    { t: 7.850, lane: 2, dur: 0.000 },
    { t: 8.281, lane: 0, dur: 0.000 },
    { t: 8.795, lane: 1, dur: 0.000 },
    { t: 9.183, lane: 2, dur: 0.000 },
    { t: 9.641, lane: 3, dur: 0.000 },
    { t: 10.054, lane: 3, dur: 0.000 },
    { t: 10.587, lane: 2, dur: 0.000 },
    { t: 10.998, lane: 1, dur: 0.000 },
    { t: 11.482, lane: 0, dur: 0.000 },
    { t: 11.942, lane: 0, dur: 0.000 },
    { t: 12.415, lane: 1, dur: 0.000 },
    { t: 12.886, lane: 0, dur: 0.000 },
    { t: 13.345, lane: 1, dur: 0.000 },
    { t: 13.831, lane: 2, dur: 0.000 },
    { t: 15.719, lane: 0, dur: 0.000 },
    { t: 16.034, lane: 1, dur: 0.000 },
    { t: 16.586, lane: 2, dur: 0.000 },
    { t: 16.978, lane: 3, dur: 0.000 },
    { t: 17.511, lane: 3, dur: 0.000 },
    { t: 17.922, lane: 2, dur: 0.000 },
    { t: 18.423, lane: 1, dur: 0.000 },
    { t: 18.867, lane: 0, dur: 0.000 },
    { t: 19.339, lane: 0, dur: 0.000 },
    { t: 19.346, lane: 1, dur: 0.000 },
    { t: 20.012, lane: 0, dur: 0.000 },
    { t: 20.018, lane: 1, dur: 0.000 },
    { t: 20.755, lane: 0, dur: 0.000 },
    { t: 20.755, lane: 1, dur: 0.000 },
    { t: 21.193, lane: 0, dur: 1.384 },
    { t: 21.199, lane: 1, dur: 1.381 },
    { t: 23.045, lane: 0, dur: 0.000 },
    { t: 23.495, lane: 1, dur: 0.000 },
    { t: 23.903, lane: 2, dur: 0.000 },
    { t: 24.419, lane: 3, dur: 0.000 },
    { t: 24.847, lane: 3, dur: 0.000 },
    { t: 25.349, lane: 2, dur: 0.000 },
    { t: 25.791, lane: 1, dur: 0.000 },
    { t: 26.248, lane: 0, dur: 0.000 },
    { t: 26.735, lane: 0, dur: 0.000 },
    { t: 27.194, lane: 1, dur: 0.000 },
    { t: 27.680, lane: 2, dur: 0.000 },
    { t: 28.119, lane: 3, dur: 0.000 },
    { t: 28.624, lane: 3, dur: 1.324 },
    { t: 28.624, lane: 2, dur: 1.309 },
    { t: 30.441, lane: 0, dur: 0.000 },
    { t: 30.512, lane: 1, dur: 0.000 },
    { t: 31.771, lane: 0, dur: 0.000 },
    { t: 31.771, lane: 1, dur: 0.000 },
    { t: 32.274, lane: 0, dur: 0.000 },
    { t: 32.716, lane: 1, dur: 0.000 },
    { t: 33.202, lane: 2, dur: 0.000 },
    { t: 33.660, lane: 3, dur: 0.000 },
    { t: 34.139, lane: 0, dur: 1.846 },
    { t: 34.146, lane: 1, dur: 1.837 },
    { t: 37.752, lane: 3, dur: 0.000 },
    { t: 38.295, lane: 2, dur: 0.000 },
    { t: 38.696, lane: 1, dur: 0.000 },
    { t: 39.219, lane: 0, dur: 0.000 },
    { t: 39.640, lane: 0, dur: 0.000 },
    { t: 40.107, lane: 1, dur: 0.000 },
    { t: 40.584, lane: 2, dur: 0.000 },
    { t: 41.032, lane: 3, dur: 0.000 },
    { t: 41.529, lane: 3, dur: 1.832 },
    { t: 41.529, lane: 2, dur: 1.815 },
    { t: 45.196, lane: 0, dur: 0.000 },
    { t: 45.620, lane: 1, dur: 0.000 },
    { t: 46.134, lane: 0, dur: 0.000 },
    { t: 46.565, lane: 1, dur: 0.000 },
    { t: 47.042, lane: 2, dur: 0.000 },
    { t: 47.509, lane: 3, dur: 0.000 },
    { t: 47.973, lane: 2, dur: 0.000 },
    { t: 48.453, lane: 3, dur: 0.000 },
    { t: 48.876, lane: 3, dur: 1.405 },
    { t: 48.884, lane: 2, dur: 1.393 },
    { t: 48.900, lane: 0, dur: 1.383 },
    { t: 48.916, lane: 1, dur: 1.368 },
    { t: 52.545, lane: 3, dur: 0.000 },
    { t: 53.049, lane: 2, dur: 0.000 },
    { t: 53.489, lane: 0, dur: 0.000 },
    { t: 53.986, lane: 1, dur: 0.000 },
    { t: 54.433, lane: 3, dur: 0.000 },
    { t: 54.874, lane: 2, dur: 0.000 },
    { t: 55.378, lane: 0, dur: 0.000 },
    { t: 55.825, lane: 1, dur: 0.000 },
    { t: 56.322, lane: 0, dur: 1.680 },
    { t: 59.988, lane: 2, dur: 1.372 },
    { t: 59.996, lane: 3, dur: 1.368 },
    { t: 61.805, lane: 2, dur: 1.383 },
    { t: 61.813, lane: 3, dur: 1.380 },
    { t: 63.650, lane: 0, dur: 1.388 },
    { t: 63.655, lane: 1, dur: 1.387 },
    { t: 65.450, lane: 0, dur: 1.398 },
    { t: 65.450, lane: 1, dur: 1.390 },
    { t: 67.338, lane: 0, dur: 0.366 },
    { t: 67.815, lane: 1, dur: 0.372 },
    { t: 68.282, lane: 2, dur: 0.329 },
    { t: 68.733, lane: 3, dur: 0.292 },
    { t: 69.227, lane: 3, dur: 0.343 },
    { t: 69.648, lane: 2, dur: 0.384 },
    { t: 70.171, lane: 1, dur: 0.334 },
    { t: 70.583, lane: 0, dur: 0.237 },
    { t: 71.115, lane: 0, dur: 1.542 },
    { t: 71.115, lane: 1, dur: 1.536 },
    { t: 72.894, lane: 2, dur: 1.348 },
    { t: 72.900, lane: 3, dur: 1.345 },
    { t: 74.743, lane: 0, dur: 1.444 },
    { t: 76.584, lane: 1, dur: 0.000 },
    { t: 77.095, lane: 2, dur: 0.000 },
    { t: 77.510, lane: 1, dur: 0.000 },
    { t: 77.935, lane: 2, dur: 0.000 },
    { t: 78.439, lane: 0, dur: 1.875 },
    { t: 82.131, lane: 2, dur: 0.000 },
    { t: 82.556, lane: 3, dur: 0.000 },
    { t: 83.004, lane: 2, dur: 0.000 },
    { t: 83.487, lane: 3, dur: 0.000 },
    { t: 84.020, lane: 2, dur: 0.000 },
    { t: 84.335, lane: 3, dur: 0.000 },
    { t: 84.871, lane: 2, dur: 0.000 },
    { t: 85.354, lane: 3, dur: 0.000 },
    { t: 85.787, lane: 2, dur: 2.208 },
    { t: 85.794, lane: 3, dur: 2.205 },
    { t: 89.493, lane: 0, dur: 0.000 },
    { t: 90.000, lane: 1, dur: 0.000 },
    { t: 90.419, lane: 0, dur: 0.000 },
    { t: 90.944, lane: 1, dur: 0.000 },
    { t: 91.332, lane: 0, dur: 0.000 },
    { t: 91.802, lane: 1, dur: 0.000 },
    { t: 92.203, lane: 2, dur: 0.000 },
    { t: 92.715, lane: 3, dur: 0.000 },
    { t: 93.148, lane: 3, dur: 2.757 },
    { t: 96.925, lane: 0, dur: 0.751 },
    { t: 97.869, lane: 1, dur: 0.753 },
    { t: 98.741, lane: 2, dur: 0.695 },
    { t: 99.668, lane: 2, dur: 0.678 },
    { t: 100.587, lane: 0, dur: 2.036 },
    { t: 104.272, lane: 0, dur: 0.117 },
    { t: 104.793, lane: 1, dur: 0.000 },
    { t: 105.186, lane: 0, dur: 0.000 },
    { t: 105.643, lane: 1, dur: 0.000 },
    { t: 106.052, lane: 2, dur: 0.000 },
    { t: 106.581, lane: 3, dur: 0.000 },
    { t: 106.997, lane: 2, dur: 0.000 },
    { t: 107.487, lane: 3, dur: 0.000 },
    { t: 107.941, lane: 0, dur: 0.000 },
    { t: 108.415, lane: 1, dur: 0.000 },
    { t: 108.885, lane: 0, dur: 0.000 },
    { t: 109.271, lane: 1, dur: 0.000 },
